YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Date,Month
2015,1,25.23,29.25,22.06,7.19,0.0,68.26,1.73,2.61,100.86,13.36,Nigeria,2015-01-01,1
2015,2,26.16,29.41,22.87,6.54,0.0,73.23,1.42,1.95,100.94,15.37,Nigeria,2015-01-02,1
2015,3,25.66,29.02,22.63,6.39,0.0,78.71,1.69,2.33,101.06,15.98,Nigeria,2015-01-03,1
2015,4,24.11,27.27,19.92,7.35,0.0,63.66,2.15,3.8,101.09,11.65,Nigeria,2015-01-04,1
2015,5,23.4,27.28,18.18,9.1,0.0,59.45,1.88,3.48,101.03,10.4,Nigeria,2015-01-05,1
2015,6,22.66,25.77,18.03,7.74,0.0,62.57,1.37,2.1,101.0,10.61,Nigeria,2015-01-06,1
2015,7,23.53,26.36,20.21,6.15,0.0,61.92,1.57,2.43,100.98,11.02,Nigeria,2015-01-07,1
2015,8,24.06,27.84,19.78,8.06,0.0,61.78,1.5,2.34,101.07,11.37,Nigeria,2015-01-08,1
2015,9,23.09,26.33,19.34,6.99,0.0,67.38,2.02,2.74,101.1,11.66,Nigeria,2015-01-09,1
2015,10,21.71,25.7,16.31,9.39,0.0,62.88,2.3,3.52,101.18,9.89,Nigeria,2015-01-10,1
2015,11,21.76,25.99,16.63,9.36,0.0,61.49,2.34,3.53,101.13,9.75,Nigeria,2015-01-11,1
2015,12,21.93,27.63,15.9,11.73,0.0,59.46,2.3,3.59,100.96,9.43,Nigeria,2015-01-12,1
2015,13,21.12,25.35,15.17,10.18,0.0,62.18,2.35,3.5,100.97,9.45,Nigeria,2015-01-13,1
2015,14,22.28,26.76,17.14,9.62,0.0,61.69,1.9,2.78,100.94,10.24,Nigeria,2015-01-14,1
2015,15,23.27,27.99,18.51,9.48,0.0,67.59,1.66,2.58,100.98,11.89,Nigeria,2015-01-15,1
2015,16,24.24,28.6,20.33,8.27,0.03,80.72,1.25,2.03,100.98,14.96,Nigeria,2015-01-16,1
2015,17,25.03,29.31,21.53,7.78,0.02,83.19,1.31,1.95,100.99,16.17,Nigeria,2015-01-17,1
2015,18,25.52,29.18,22.74,6.44,0.03,87.2,1.88,2.16,101.01,17.56,Nigeria,2015-01-18,1
2015,19,25.94,29.32,23.38,5.94,0.21,87.45,2.25,3.03,100.9,18.11,Nigeria,2015-01-19,1
2015,20,26.02,29.26,23.45,5.81,0.26,86.82,2.11,2.64,100.77,18.09,Nigeria,2015-01-20,1
2015,21,26.53,29.69,23.95,5.74,0.05,85.06,2.01,2.28,100.86,18.27,Nigeria,2015-01-21,1
2015,22,27.04,30.64,24.32,6.32,0.05,83.51,2.07,3.03,100.89,18.42,Nigeria,2015-01-22,1
2015,23,26.96,29.97,24.66,5.31,0.05,86.65,2.15,2.93,100.78,19.12,Nigeria,2015-01-23,1
2015,24,26.71,29.43,24.96,4.47,0.06,88.44,2.59,3.05,100.67,19.28,Nigeria,2015-01-24,1
2015,25,26.71,29.22,24.65,4.57,0.09,87.06,2.56,3.39,100.68,18.98,Nigeria,2015-01-25,1
2015,26,26.8,29.44,24.97,4.47,0.13,87.54,2.31,2.62,100.79,19.17,Nigeria,2015-01-26,1
2015,27,26.69,29.28,24.9,4.38,0.11,87.86,2.5,2.91,100.76,19.12,Nigeria,2015-01-27,1
2015,28,27.14,30.12,25.03,5.09,0.1,86.54,2.72,3.31,100.72,19.3,Nigeria,2015-01-28,1
2015,29,26.96,29.34,25.28,4.06,0.13,87.37,2.46,2.89,100.74,19.34,Nigeria,2015-01-29,1
2015,30,27.0,29.81,24.93,4.88,0.25,86.24,2.2,2.5,100.82,19.08,Nigeria,2015-01-30,1
2015,31,26.84,29.17,25.09,4.08,0.22,88.09,2.26,2.89,100.86,19.35,Nigeria,2015-01-31,1
2015,32,26.92,28.86,25.55,3.31,0.13,88.77,2.0,2.58,100.74,19.65,Nigeria,2015-02-01,2
2015,33,27.59,30.5,25.57,4.93,0.18,86.78,2.4,3.15,100.67,19.91,Nigeria,2015-02-02,2
2015,34,27.41,30.07,25.41,4.66,0.21,86.68,2.82,3.39,100.71,19.69,Nigeria,2015-02-03,2
2015,35,27.48,30.04,25.5,4.54,0.22,86.06,2.5,2.84,100.72,19.63,Nigeria,2015-02-04,2
2015,36,27.55,30.05,25.65,4.4,0.03,86.19,2.87,3.74,100.68,19.76,Nigeria,2015-02-05,2
2015,37,27.44,29.47,25.96,3.51,0.04,86.92,2.58,3.06,100.67,19.83,Nigeria,2015-02-06,2
2015,38,27.32,29.32,25.76,3.56,0.05,87.44,2.54,3.03,100.69,19.8,Nigeria,2015-02-07,2
2015,39,27.69,30.5,25.72,4.78,0.03,85.26,3.17,4.25,100.68,19.69,Nigeria,2015-02-08,2
2015,40,27.57,29.86,25.91,3.95,0.03,85.06,2.82,4.07,100.65,19.53,Nigeria,2015-02-09,2
2015,41,27.23,28.75,26.16,2.59,3.65,87.14,2.31,2.98,100.71,19.66,Nigeria,2015-02-10,2
2015,42,27.33,29.76,25.59,4.17,3.8,86.76,2.36,2.79,100.7,19.64,Nigeria,2015-02-11,2
2015,43,26.84,28.69,25.61,3.08,9.64,87.01,2.86,3.68,100.84,19.15,Nigeria,2015-02-12,2
2015,44,27.03,28.92,25.59,3.33,3.94,86.79,3.25,3.6,100.92,19.3,Nigeria,2015-02-13,2
2015,45,26.93,28.45,25.85,2.6,2.79,89.22,2.8,3.4,100.9,19.75,Nigeria,2015-02-14,2
2015,46,27.27,29.52,25.63,3.89,1.04,85.46,2.68,3.28,100.84,19.27,Nigeria,2015-02-15,2
2015,47,27.05,29.14,25.49,3.65,0.96,86.22,2.52,2.87,100.79,19.21,Nigeria,2015-02-16,2
2015,48,27.07,28.96,25.48,3.48,2.87,88.54,2.64,2.92,100.67,19.8,Nigeria,2015-02-17,2
2015,49,26.56,28.39,25.06,3.33,5.02,90.06,3.13,3.82,100.66,19.57,Nigeria,2015-02-18,2
2015,50,26.79,29.12,25.09,4.03,0.57,80.38,1.92,3.06,100.66,17.65,Nigeria,2015-02-19,2
2015,51,27.21,30.06,24.85,5.21,0.15,82.3,2.5,3.09,100.56,18.49,Nigeria,2015-02-20,2
2015,52,27.34,30.11,25.04,5.07,0.24,83.65,2.77,3.2,100.59,18.93,Nigeria,2015-02-21,2
2015,53,27.12,28.87,25.68,3.19,1.11,85.32,2.57,4.02,100.71,19.11,Nigeria,2015-02-22,2
2015,54,27.04,28.82,25.76,3.06,0.92,87.85,2.04,2.37,100.76,19.58,Nigeria,2015-02-23,2
2015,55,27.31,30.0,25.46,4.54,0.17,83.43,1.86,2.5,100.72,18.78,Nigeria,2015-02-24,2
2015,56,27.56,30.56,25.62,4.94,0.0,83.75,2.13,2.89,100.59,19.18,Nigeria,2015-02-25,2
2015,57,27.28,29.32,25.7,3.62,0.0,86.18,2.68,3.57,100.58,19.5,Nigeria,2015-02-26,2
2015,58,27.03,28.97,25.53,3.44,0.0,85.31,1.75,2.34,100.71,18.97,Nigeria,2015-02-27,2
2015,59,27.12,29.68,24.98,4.7,0.0,84.02,1.73,2.19,100.75,18.74,Nigeria,2015-02-28,2
2015,60,27.5,30.27,25.54,4.73,0.0,82.19,1.94,2.36,100.69,18.75,Nigeria,2015-03-01,3
2015,61,27.86,31.12,25.61,5.51,0.27,81.13,1.7,2.74,100.65,18.84,Nigeria,2015-03-02,3
2015,62,27.51,29.9,25.67,4.23,0.5,85.63,2.48,3.15,100.7,19.57,Nigeria,2015-03-03,3
2015,63,27.57,30.66,25.54,5.12,0.53,82.17,1.73,2.41,100.76,18.77,Nigeria,2015-03-04,3
2015,64,27.47,29.84,25.69,4.15,0.33,84.61,1.68,2.29,100.72,19.31,Nigeria,2015-03-05,3
2015,65,27.67,30.07,26.13,3.94,0.21,85.08,2.14,2.64,100.69,19.64,Nigeria,2015-03-06,3
2015,66,27.41,30.02,25.44,4.58,1.68,85.9,2.16,2.48,100.66,19.52,Nigeria,2015-03-07,3
